6509.338076319199, 5144.903643892099
7355.673244609206, 5088.465406476642
8569.972519783627, 5088.465406476642
9833.332623922974, 5032.646281655513
11812.154824501777, 4922.8382782890885
14854.72552800411, 4762.602234328381
17844.033607220943, 4658.686359277445
20789.786681736008, 4607.581797367677
23136.621061929738, 4507.048334612573
25357.949583264824, 4507.048334612573
29999.003921776388, 4457.607201880421
33899.43307985545, 4312.514208127162
38896.78764629836, 4312.514208127162
46015.74276793596, 4265.2070635075
52799.248017357306, 4265.2070635075
60582.757628351, 4218.418865800027
76187.64312435346, 4172.14392229384
90131.63297661685, 4036.3426224844416
105010.86604668293, 3904.961590377554
122346.41294844038, 3777.856948362363
144738.45804464194, 3575.1429638176105
168632.36943096938, 3497.1364263748096
190557.71776718725, 3383.3062994286242
208853.01215368265, 3346.1923207435098
243331.16973933516, 3237.275352625268
287866.0473447037, 3166.640795192758
340551.77272452624, 3131.9035800029756
409083.10732763837, 3131.9035800029756
483954.1817353128, 3166.640795192758
581343.2679695112, 3237.275352625268
698330.5609668441, 3273.1812889608354
891727.6836427788, 3309.4854726259323
1087667.997271, 3383.3062994286242
1499153.3230430088, 3420.8319243318233
1943806.1546209247, 3346.1923207435098
2482127.8869864494, 3201.7632949509566
3121473.518964284, 3029.9616084498325
3807358.3597146976, 2743.616166879491
4788056.392809709, 2430.125723172118
5840141.3381197285, 2105.4905348804805
6701077.7707725745, 1864.9134563629416
7572342.66996157, 1670.1462048575017
8556888.230937462, 1495.7199949856868
9522824.043327542, 1369.38935048459
10597798.558628796, 1226.373491424375
11794120.502307381, 1122.792236851265
13327575.800391564, 1027.959602803602
15292287.765597884, 920.6018775356714
17280569.951573197, 824.4563449874449
18939663.679892913, 763.1936188746553
20758045.672839522, 706.4831308925914
23456978.171338487, 646.8125578214139
26104895.80852667, 598.7499759551422
28611206.019112244, 554.2587715269229
31840953.537562914, 513.073566849794
35980870.44689731, 485.542829576697
40042535.200208806, 464.58573233467706
44562696.93715053, 444.53318953782195
51131998.45046157, 434.83385856135664
62367289.2198293, 411.501343516775
70476198.23619798, 398.1071705534973
88629432.69964172, 385.14897154801355
103260677.49632515, 372.61255575540713
131857904.98370339, 356.52977769981993
163307440.46974772, 333.69776155233836
215005006.75996944, 322.8360581676241
287426545.0588149, 312.32789806072145
367027052.1855521, 305.51317257391526
468672289.84870434, 302.1617735661325
580455696.4843867, 295.5688641518753
729969271.5300721, 285.94823823805405
890366229.7340338, 270.60469624080764
1119706451.4146209, 247.74903756423012
1265289141.5257602, 226.8238004242964
1496864476.13503, 207.66593866417216
1665836532.8887594, 192.23494392359257
2063156550.687525, 168.40202340694057
2331405322.845655, 155.88860520166708
2675094227.8756294, 136.5618342130385
3022906293.710289, 122.29963184677574
3262895651.5723395, 110.74174874113088
3521937830.227041, 100.83070746570294
3860076270.2227306, 88.818409941032
4103351170.955332, 80.4246577749272
4429117343.28065, 70.45376259215202
4636863236.714757, 62.40359086532905
4854353364.24648, 55.88630405213089
5239741806.205479, 50.04966761203626
5485509700.466759, 43.36364181747017
5921005816.671314, 37.98750047888433
6104736003.988725, 33.277882856505606
6589392665.878292, 29.802417677267712
6589392665.878292, 26.985950819779443
7112526352.779366, 23.380956583443115
7560781522.18576, 20.2575456543177
8161034036.205175, 16.793827988731422
8543823918.656518, 14.232900496496734
8944568400.176685, 12.606624071334672
9508284979.155937, 10.922532692812284
9954267102.663664, 9.256931837746714
10581618266.66702, 7.75926097689704
11077944638.358843, 6.5038969674699985
11597550990.581787, 5.824644998909926
12141529261.069744, 5.159110742628361
